timestamp,sensor_id,value,unit
2025-06-09T21:34:44.543206,temp_01,14.19,°C
2025-06-09T21:34:44.543206,hum_01,73.67,%
2025-06-09T21:34:44.543206,press_01,1005.05,hPa
2025-06-09T21:34:44.543206,light_01,0,lx
2025-06-09T21:34:46.546017,temp_01,15.08,°C
2025-06-09T21:34:46.546017,hum_01,65.92,%
2025-06-09T21:34:46.546017,press_01,988.8,hPa
2025-06-09T21:34:46.546017,light_01,44.06,lx
2025-06-09T21:34:48.547100,temp_01,13.07,°C
2025-06-09T21:34:48.547100,hum_01,81.66,%
2025-06-09T21:34:48.547100,press_01,985.88,hPa
2025-06-09T21:34:48.547100,light_01,0,lx
2025-06-09T21:34:50.548119,temp_01,12.98,°C
2025-06-09T21:34:50.548119,hum_01,82.29,%
2025-06-09T21:34:50.548119,press_01,1002.94,hPa
2025-06-09T21:34:50.548119,light_01,71.75,lx
2025-06-09T21:34:52.549201,temp_01,14.12,°C
2025-06-09T21:34:52.549201,hum_01,76.39,%
2025-06-09T21:34:52.549201,press_01,1003.25,hPa
2025-06-09T21:34:52.549201,light_01,113.02,lx
2025-06-09T21:34:54.549338,temp_01,13.53,°C
2025-06-09T21:34:54.549338,hum_01,87.51,%
2025-06-09T21:34:54.549338,press_01,989.64,hPa
2025-06-09T21:34:54.549338,light_01,81.5,lx
2025-06-09T21:34:56.549703,temp_01,14.21,°C
2025-06-09T21:34:56.549703,hum_01,86.76,%
2025-06-09T21:34:56.549703,press_01,997.55,hPa
2025-06-09T21:34:56.549703,light_01,0,lx
2025-06-09T21:34:58.550955,temp_01,13.86,°C
2025-06-09T21:34:58.550955,hum_01,80.49,%
2025-06-09T21:34:58.550955,press_01,1000.8,hPa
2025-06-09T21:34:58.550955,light_01,38.12,lx
2025-06-09T21:35:00.551378,temp_01,14.15,°C
2025-06-09T21:35:00.551378,hum_01,68.96,%
2025-06-09T21:35:00.551378,press_01,990.23,hPa
2025-06-09T21:35:00.551378,light_01,0,lx
2025-06-09T21:35:07.982956,temp_01,14.75,°C
2025-06-09T21:35:07.982956,hum_01,81.1,%
2025-06-09T21:35:07.982956,press_01,983.63,hPa
2025-06-09T21:35:07.982956,light_01,14.7,lx
2025-06-09T21:35:09.983618,temp_01,14.89,°C
2025-06-09T21:35:09.983618,hum_01,79.6,%
2025-06-09T21:35:09.983618,press_01,986.14,hPa
2025-06-09T21:35:09.983618,light_01,101.25,lx
2025-06-09T21:35:18.477791,temp_01,14.67,°C
2025-06-09T21:35:18.477791,hum_01,79.8,%
2025-06-09T21:35:18.477791,press_01,986.15,hPa
2025-06-09T21:35:18.477791,light_01,45.48,lx
2025-06-09T21:35:20.479329,temp_01,15.78,°C
2025-06-09T21:35:20.479329,hum_01,67.56,%
2025-06-09T21:35:20.479329,press_01,988.69,hPa
2025-06-09T21:35:20.479329,light_01,0,lx
2025-06-09T21:35:22.479490,temp_01,13.17,°C
2025-06-09T21:35:22.479490,hum_01,73.87,%
2025-06-09T21:35:22.479490,press_01,983.46,hPa
2025-06-09T21:35:22.479490,light_01,93.37,lx
2025-06-09T21:35:26.759268,temp_01,13.09,°C
2025-06-09T21:35:26.759268,hum_01,67.13,%
2025-06-09T21:35:26.759268,press_01,992.45,hPa
2025-06-09T21:35:26.759268,light_01,57.91,lx
2025-06-09T21:35:28.760141,temp_01,14.07,°C
2025-06-09T21:35:28.760141,hum_01,77.35,%
2025-06-09T21:35:28.760141,press_01,992.16,hPa
2025-06-09T21:35:28.760141,light_01,100.18,lx
2025-06-09T21:42:22.509806,temp_01,14.06,°C
2025-06-09T21:42:22.509806,hum_01,74.25,%
2025-06-09T21:42:22.509806,press_01,997.63,hPa
2025-06-09T21:42:22.509806,light_01,0,lx
2025-06-09T21:42:24.510150,temp_01,15.44,°C
2025-06-09T21:42:24.510150,hum_01,80.69,%
2025-06-09T21:42:24.510150,press_01,984.08,hPa
2025-06-09T21:42:24.510150,light_01,0,lx
2025-06-09T21:42:26.511534,temp_01,13.3,°C
2025-06-09T21:42:26.511534,hum_01,70.51,%
2025-06-09T21:42:26.511534,press_01,985.34,hPa
2025-06-09T21:42:26.511534,light_01,0,lx
2025-06-09T21:42:28.511915,temp_01,14.73,°C
2025-06-09T21:42:28.511915,hum_01,76.98,%
2025-06-09T21:42:28.511915,press_01,986.65,hPa
2025-06-09T21:42:28.511915,light_01,9.32,lx
2025-06-09T21:42:30.512643,temp_01,13.84,°C
2025-06-09T21:42:30.512643,hum_01,69.52,%
2025-06-09T21:42:30.512643,press_01,988.7,hPa
2025-06-09T21:42:30.512643,light_01,44.89,lx
2025-06-09T21:42:32.512832,temp_01,14.08,°C
2025-06-09T21:42:32.512832,hum_01,68.21,%
2025-06-09T21:42:32.512832,press_01,992.74,hPa
2025-06-09T21:42:32.512832,light_01,0,lx
2025-06-09T21:42:34.513350,temp_01,13.22,°C
2025-06-09T21:42:34.513350,hum_01,74.02,%
2025-06-09T21:42:34.513350,press_01,986.4,hPa
2025-06-09T21:42:34.513350,light_01,74.91,lx
2025-06-09T21:42:36.513689,temp_01,15.24,°C
2025-06-09T21:42:36.513689,hum_01,71.64,%
2025-06-09T21:42:36.513689,press_01,985.03,hPa
2025-06-09T21:42:36.513689,light_01,0,lx
2025-06-09T21:42:38.514734,temp_01,13.08,°C
2025-06-09T21:42:38.514734,hum_01,73.05,%
2025-06-09T21:42:38.514734,press_01,987.6,hPa
2025-06-09T21:42:38.514734,light_01,53.17,lx
2025-06-09T21:42:40.515787,temp_01,13.4,°C
2025-06-09T21:42:40.515787,hum_01,69.97,%
2025-06-09T21:42:40.515787,press_01,996.97,hPa
2025-06-09T21:42:40.515787,light_01,71.65,lx
2025-06-09T21:42:42.516137,temp_01,13.78,°C
2025-06-09T21:42:42.516137,hum_01,70.79,%
2025-06-09T21:42:42.516137,press_01,982.78,hPa
2025-06-09T21:42:42.516137,light_01,0,lx
2025-06-09T21:42:44.516490,temp_01,13.37,°C
2025-06-09T21:42:44.516490,hum_01,82.73,%
2025-06-09T21:42:44.516490,press_01,994.0,hPa
2025-06-09T21:42:44.516490,light_01,60.0,lx
2025-06-09T21:42:46.516848,temp_01,14.3,°C
2025-06-09T21:42:46.516848,hum_01,80.93,%
2025-06-09T21:42:46.516848,press_01,995.44,hPa
